SubNo,Name,Gender,Age,Handedness,village,face1,face2,false_time,rt,mean_false,mean_rt,block
10,lyj,Male,19,Right,2,3,4,1,7.59815819999994,7.59815819999994,1,1
10,lyj,Male,19,Right,3,5,6,1,6.87265089999983,7.23540454999988,1,1
10,lyj,Male,19,Right,1,1,2,1,10.4262198000001,8.2990096333333,1,1
10,lyj,Male,19,Right,1,1,2,0,4.58823419999999,4.58823419999999,0,2
10,lyj,Male,19,Right,3,5,6,0,9.44181389999994,7.01502404999997,0,2
10,lyj,Male,19,Right,2,3,4,0,11.2942191000002,8.44142240000004,0,2
10,lyj,Male,19,Right,3,5,6,1,10.1925535,10.1925535,1,3
10,lyj,Male,19,Right,2,3,4,0,3.27038690000018,6.7314702000001,0.5,3
10,lyj,Male,19,Right,1,1,2,0,3.75393769999982,5.73895936666668,0.333333333333333,3
10,lyj,Male,19,Right,3,5,6,0,4.50448000000006,4.50448000000006,0,4
10,lyj,Male,19,Right,2,3,4,0,3.20346410000002,3.85397205000004,0,4
10,lyj,Male,19,Right,1,1,2,0,10.4760185999999,6.06132089999998,0,4
10,lyj,Male,19,Right,1,1,2,0,2.56960560000016,2.56960560000016,0,5
10,lyj,Male,19,Right,2,3,4,0,1.93577469999991,2.25269015000003,0,5
10,lyj,Male,19,Right,3,5,6,1,4.25440049999997,2.91992693333335,0.333333333333333,5
10,lyj,Male,19,Right,1,1,2,0,2.2195426000003,2.2195426000003,0,6
10,lyj,Male,19,Right,2,3,4,0,2.06920919999993,2.14437590000011,0,6
10,lyj,Male,19,Right,3,5,6,0,2.93665329999976,2.40846836666666,0,6
