SubNo,subject_label,source_file,session_date,n_trials,mean_rt,median_rt,sd_rt,min_rt,max_rt
2,S02,SPtask1-2-2026-03-29.csv,2026-03-29,6,4.46044585000004,2.836465350000025,3.1975341477114374,2.01900669999986,9.66173389999994
6,S06,SPtask1-6-2026-03-29.csv,2026-03-29,12,8.519965683333371,4.228306400000065,9.374097964293156,1.49712599999975,34.4717184000001
8,S08,SPtask1-8-2026-03-29.csv,2026-03-29,30,7.442604490000034,5.45534944999997,4.981607828826774,2.63636030000021,22.5191003
9,S09,SPtask1-9-2025-11-25.xlsx,2025-11-25,15,6.539678663333238,5.931214899999759,2.640609882235154,3.8960443666665014,12.955399700000271
10,S10,SPtask1-10-2026-03-29.csv,2026-03-29,18,5.644851266666667,4.379440250000015,3.3705416157703016,1.93577469999991,11.2942191000002
11,S11,SPtask1-11-2025-11-25.xlsx,2025-11-25,36,4.917747346759067,3.9832596250003007,2.589927869659065,2.060353799999575,14.841711600000053
12,S12,SPtask1-12-2026-04-12.csv,2026-04-12,15,9.545276586666615,8.3022117999999,8.870261724066719,1.94673579999994,40.2584956999999
13,S13,SPtask1-13-2025-12-06.csv,2025-12-06,21,13.488387533333345,9.94465280000031,11.539810682450911,2.70427530000006,55.1462178000002
14,S14,SPtask1-14-2026-04-12.csv,2026-04-12,6,3.9093536499992,3.4136494499998653,2.10219573367116,1.83226809999906,7.50034859999869
15,S15,SPtask1-15-2025-12-06.csv,2025-12-06,3,3.3469446333335036,2.30469310000035,1.8413336900872364,2.26314249999996,5.4729983000002
16,S16,SPtask1-16-2026-04-12.csv,2026-04-12,21,9.851887509523788,3.86185999999998,14.895801305136796,2.04097260000003,55.6757600000001
17,S17,SPtask1-17-2025-12-06.csv,2025-12-06,12,10.771151808333657,7.890512349999879,9.092681028513946,3.1201932999993,33.3279208999993
18,S18,SPtask1-18-2026-04-12.csv,2026-04-12,18,5.4282640333334005,4.747097050000325,2.490748534697702,2.48845829999982,10.2223204999996
20,S20,SPtask1-20-2026-04-12.csv,2026-04-12,24,7.323325037500034,5.62149505000002,6.150824033109043,1.61110980000012,23.6574756999999
21,S21,SPtask1-21-2025-12-09.csv,2025-12-09,12,3.895196324999839,3.3544825999997547,1.3929732557806611,2.35426860000007,6.92591879999964
23,S23,SPtask1-23-2025-12-09.csv,2025-12-09,36,5.250884466666663,3.643952350000065,7.109386119252252,1.81691380000029,45.1065467000003
29,S29,SPtask1-29-2026-03-16.csv,2026-03-16,30,7.598854423333281,8.124046800000091,3.3670022232739947,2.53619639999943,17.0978810000006
31,S31,SPtask1-31-2026-03-16.csv,2026-03-16,12,9.136409000000013,7.206528450000009,6.018651926800387,2.87023499999998,20.017058
35,S35,SPtask1-35-2025-07-18.csv,2025-07-18,6,7.466478016666467,5.35508785000002,5.422991399989894,2.46957569999995,14.6628109999992
37,S37,SPtask1-37-2026-03-22.csv,2026-03-22,18,11.438417261111105,7.74887880000006,10.698692793219788,2.20271420000017,35.9978343000003
39,S39,SPtask1-39-2026-03-22.csv,2026-03-22,9,6.988537277777847,3.26976250000007,6.833452190284333,2.68611460000011,22.5750806999999
41,S41,SPtask1-41-2026-03-22.csv,2026-03-22,3,4.163781133333033,3.02947489999951,2.2894673117065723,2.6629224999997,6.79894599999989
43,S43,SPtask1-43-2026-03-26.csv,2026-03-26,15,5.2795951000000505,5.27544230000012,2.7958231279092267,1.72512440000014,9.5928566
45,S45,SPtask1-45-2026-03-26.csv,2026-03-26,3,4.773766199999803,3.5533317999998,2.31862807656073,3.32026319999977,7.44770359999984
47,S47,SPtask1-47-2026-03-26.csv,2026-03-26,15,5.733661346666651,4.35444940000002,3.3793085796780957,2.1192989000001,13.0276841999998
49,S49,SPtask1-49-2025-07-18.csv,2025-07-18,12,7.844009366666641,5.32174720000012,7.086039642710385,2.30282829999987,27.5065006999998
