trial_index,n_subjects,mean_rt,sd_rt,median_rt,min_rt,max_rt,se_rt
1,26,15.29017291538462,13.741115329494633,9.547799299999951,4.3114486000004,55.6757600000001,2.694854430908542
2,26,10.92718790961533,11.679496223668599,7.767459049999957,1.49712599999975,55.1462178000002,2.290537659746901
3,26,10.530965085897263,10.59017211300225,7.944135249999815,2.18596060000027,50.5601276999998,2.0769036252501776
4,23,7.175187473912951,5.174490261180791,5.50056059999997,1.83226809999906,19.7296953,1.0789558048541525
5,23,7.665761430434787,3.237072980104267,8.20845920000011,1.98458049999999,14.4136048999999,0.6749763757064301
6,23,6.312514376811515,3.7445545278011885,5.27544230000012,1.81691380000029,17.3056564999997,0.7807935932692311
7,20,8.657794280000035,8.486143356337415,4.573723499999916,1.72512440000014,35.9978343000003,1.897559341157868
8,20,6.991542310000041,5.819095670353154,4.428517625000042,2.31691150000006,21.3680810000001,1.301189348648436
9,20,5.372675481666672,2.725148646024925,4.100082883333245,2.30282829999987,10.1766988000018,0.6093617621303244
10,19,6.007707742105258,4.4729144040487805,4.320786,1.91304279999986,21.2374048000001,1.0261569405450572
11,19,6.944711005263155,3.7204001228480497,6.42275960000006,2.33754330000011,15.0947575,0.8535183244753134
12,19,5.055081436842009,2.67764086190243,3.96755819999998,2.55878549999989,10.7929174999999,0.6142929433751495
13,14,6.020682171428541,4.705471913214464,5.68933604999995,1.94673579999994,20.3360970999997,1.2575902673097294
14,14,6.688576196428584,8.8102331641815,3.177685249999855,1.61110980000012,33.9960923999997,2.354633856997176
15,14,4.092667335714269,2.315654302538253,3.83136934999993,1.90825040000004,9.94465280000031,0.6188846447362224
16,10,5.534665140000127,3.634227227231382,3.9329328500000447,2.2195426000003,12.2606864999998,1.149243557264947
17,10,4.116928055000065,2.4586753241883814,3.593504399999915,2.06920919999993,10.5091924000008,0.7775014051288166
18,10,4.346988666666592,2.078956540155808,3.7811066333330627,2.32135629999993,8.0406481,0.6574237823395657
19,7,3.015677328571527,0.6194397338713314,3.40632200000005,2.231172100000549,3.59062610000001,0.23412621257365374
20,7,5.795046971428644,3.3638044159158644,4.62121800000023,2.77782550000006,12.3994929,1.2713985633677511
21,7,4.055716566666857,1.252162064661174,3.681256966667206,2.41055890000007,6.18902640000033,0.4732727748918065
22,5,4.781252940000014,1.9086796992271398,5.51324690000001,2.53619639999943,7.02706980000039,0.8535875109491474
23,5,9.670993620000127,6.872948762327451,6.08758139999986,4.33413490000021,21.1846676,3.073676127687445
24,5,4.667389900000005,2.247892281505204,4.12086779999936,2.76723510000011,8.24087270000018,1.0052879895085458
25,4,12.612040674999891,7.856088861475944,11.716352349999852,4.49635769999986,22.5191003,3.928044430737972
26,4,6.046893087500223,2.1714572259148013,5.188037750000375,4.57107220000012,9.240424650000023,1.0857286129574006
27,4,5.154139433333173,1.9324505151103988,5.12425224999993,2.81964859999971,7.548404633333121,0.9662252575551994
28,4,4.471624099999475,0.8287047105359442,4.555356149999169,3.53752209999948,5.23826200000008,0.4143523552679721
29,4,5.183054987499759,1.1515444770429006,4.758773249999875,4.33754229999977,6.877131149999514,0.5757722385214503
30,4,4.007452408333144,1.7516168006976778,3.410992799999915,2.70293719999972,6.504886833333027,0.8758084003488389
31,2,4.515891499999272,3.6747814745026193,4.515891499999272,1.91742859999977,7.114354399998774,2.598462899999502
32,2,7.070955249999768,2.6501580805874885,7.070955249999768,5.19701050000003,8.944899999999507,1.873944749999738
33,2,6.01733181666653,1.4028247827038967,6.01733181666653,5.02538490000006,7.009278733333001,0.9919469166664703
34,2,3.543448850000233,0.5913664825819639,3.543448850000233,3.12528960000009,3.961608100000376,0.418159250000143
35,2,3.1753868250000328,1.1731245507336596,3.1753868250000328,2.34586249999984,4.0049111500002255,0.8295243250001927
36,2,3.8389227833334507,0.573342095027293,3.8389227833334507,3.43350869999995,4.244336866666951,0.4054140833335008
