SubNo,source,schema,ability_range,warmth_range,aspect_ratio
2,MRtask-2-2026-03-29.mat,warmth_ability,230.0,490.0,2.130434782608696
6,MRtask-6-2026-03-29.mat,warmth_ability,280.0,290.0,1.0357142857142858
8,MRtask-8-2025-07-19.mat,warmth_ability,433.0,435.0,1.0046189376443417
9,MRtask-9-2025-11-25.mat,legacy_xy,490.0,400.0,0.8163265306122449
10,MRtask-10-2026-03-29.mat,warmth_ability,850.0,840.0,0.9882352941176471
11,MRtask-11-2025-11-25.mat,legacy_xy,957.0,800.0,0.8359456635318704
12,MRtask-12-2026-04-12.mat,warmth_ability,544.0,582.0,1.0698529411764706
13,MRtask-13-2025-12-06.mat,legacy_xy,750.0,730.0,0.9733333333333334
14,MRtask-14-2026-04-12.mat,warmth_ability,310.0,345.0,1.1129032258064515
15,MRtask-15-2025-12-06.mat,legacy_xy,510.0,500.0,0.9803921568627451
16,MRtask-16-2026-04-12.mat,warmth_ability,552.0,617.0,1.1177536231884058
17,MRtask-17-2025-12-06.mat,legacy_xy,620.0,440.0,0.7096774193548387
18,MRtask-18-2026-04-12.mat,warmth_ability,430.0,448.0,1.041860465116279
20,MRtask-20-2026-04-12.mat,warmth_ability,544.0,560.0,1.0294117647058822
21,MRtask-21-2025-12-09.mat,legacy_xy,957.0,810.0,0.8463949843260188
23,MRtask-23-2025-12-09.mat,legacy_xy,570.0,580.0,1.0175438596491229
29,MRtask-29-2026-03-16.mat,warmth_ability,550.0,580.0,1.0545454545454545
31,MRtask-31-2026-03-16.mat,warmth_ability,420.0,440.0,1.0476190476190477
35,MRtask-35-2025-07-18.mat,warmth_ability,560.0,600.0,1.0714285714285714
37,MRtask-37-2026-03-22.mat,warmth_ability,780.0,890.0,1.141025641025641
39,MRtask-39-2026-03-22.mat,warmth_ability,640.0,640.0,1.0
41,MRtask-41-2026-03-22.mat,warmth_ability,800.0,910.0,1.1375
43,MRtask-43-2026-03-26.mat,warmth_ability,810.0,867.0,1.0703703703703704
45,MRtask-45-2026-03-26.mat,warmth_ability,890.0,920.0,1.0337078651685394
47,MRtask-47-2026-03-26.mat,warmth_ability,400.0,460.0,1.15
49,MRtask-49-2025-07-18.mat,warmth_ability,760.0,750.0,0.9868421052631579
